"","year","county","pct_lbw","pct_lbw_aian","pct_lbw_asian","pct_lbw_biracial","pct_lbw_black","pct_lbw_hispanic","pct_lbw_nhopi","pct_lbw_white","tbr","tbr_aian","tbr_asian","tbr_biracial","tbr_black","tbr_hispanic","tbr_nhopi","tbr_white","num_hs_complete","pop_25plus","pct_hs_complete","num_some_college","pop_25_44","pct_some_college","pct_child_poverty","pct_child_poverty_aian","pct_child_poverty_asian","pct_child_poverty_black","pct_child_poverty_hispanic","pct_child_poverty_white","year_factor","county_factor","racial_data_available"
"27",2014,"Elmore",8.8,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,1124,21975,74,12409,21975,56.5,21,NA,NA,NA,NA,NA,"2014","Elmore","None/Limited"
"28",2014,"Escambia",11,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,448,10193,77,4668,10193,45.8,38,NA,NA,NA,NA,NA,"2014","Escambia","None/Limited"
"29",2014,"Etowah",8.9,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,1381,26079,75,14348,26079,55,31,NA,NA,NA,NA,NA,"2014","Etowah","None/Limited"
"30",2014,"Fayette",9.6,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,200,3801,83,1478,3801,38.9,28,NA,NA,NA,NA,NA,"2014","Fayette","None/Limited"
"31",2014,"Franklin",8.5,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,403,8186,85,3702,8186,45.2,31,NA,NA,NA,NA,NA,"2014","Franklin","None/Limited"
"32",2014,"Geneva",8.6,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,312,6348,77,3204,6348,50.5,36,NA,NA,NA,NA,NA,"2014","Geneva","None/Limited"
"33",2014,"Greene",16,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,119,1838,68,692,1838,37.6,48,NA,NA,NA,NA,NA,"2014","Greene","None/Limited"
"34",2014,"Hale",13.9,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,248,3527,67,1443,3527,40.9,39,NA,NA,NA,NA,NA,"2014","Hale","None/Limited"
"35",2014,"Henry",8.9,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,274,3913,72,2208,3913,56.4,29,NA,NA,NA,NA,NA,"2014","Henry","None/Limited"
"36",2014,"Houston",8.7,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,1271,26246,71,14085,26246,53.7,29,NA,NA,NA,NA,NA,"2014","Houston","None/Limited"
"37",2014,"Jackson",8.7,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,657,12949,80,6013,12949,46.4,25,NA,NA,NA,NA,NA,"2014","Jackson","None/Limited"
"38",2014,"Jefferson",11.6,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,8915,177321,73,116658,177321,65.8,28,NA,NA,NA,NA,NA,"2014","Jefferson","None/Limited"
"39",2014,"Lamar",9.1,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,184,3372,73,1553,3372,46.1,31,NA,NA,NA,NA,NA,"2014","Lamar","None/Limited"
"40",2014,"Lauderdale",10,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,1096,21922,81,12717,21922,58,29,NA,NA,NA,NA,NA,"2014","Lauderdale","None/Limited"
"41",2014,"Lawrence",10,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,455,8514,79,4231,8514,49.7,29,NA,NA,NA,NA,NA,"2014","Lawrence","None/Limited"
"42",2014,"Lee",8,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,1610,37163,87,24321,37163,65.4,21,NA,NA,NA,NA,NA,"2014","Lee","None/Limited"
"43",2014,"Limestone",9.3,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,925,23459,82,12959,23459,55.2,19,NA,NA,NA,NA,NA,"2014","Limestone","None/Limited"
"44",2014,"Lowndes",13.7,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,152,2481,63,1128,2481,45.5,43,NA,NA,NA,NA,NA,"2014","Lowndes","None/Limited"
"45",2014,"Macon",11.5,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,244,4281,86,2220,4281,51.9,49,NA,NA,NA,NA,NA,"2014","Macon","None/Limited"
"46",2014,"Madison",10.4,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,4635,88504,74,62185,88504,70.3,17,NA,NA,NA,NA,NA,"2014","Madison","None/Limited"
"47",2014,"Marengo",12.2,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,347,4648,87,2556,4648,55,36,NA,NA,NA,NA,NA,"2014","Marengo","None/Limited"
"48",2014,"Marion",9,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,383,7236,73,3427,7236,47.4,31,NA,NA,NA,NA,NA,"2014","Marion","None/Limited"
"49",2014,"Marshall",8.1,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,1174,23577,82,10545,23577,44.7,36,NA,NA,NA,NA,NA,"2014","Marshall","None/Limited"
"50",2014,"Mobile",11.9,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,5631,104874,64,59459,104874,56.7,31,NA,NA,NA,NA,NA,"2014","Mobile","None/Limited"
"51",2014,"Monroe",14.8,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,340,5246,79,2136,5246,40.7,33,NA,NA,NA,NA,NA,"2014","Monroe","None/Limited"
"52",2014,"Montgomery",11.9,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,2044,62052,66,38019,62052,61.3,31,NA,NA,NA,NA,NA,"2014","Montgomery","None/Limited"
"53",2014,"Morgan",9.2,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,1662,31128,71,16783,31128,53.9,23,NA,NA,NA,NA,NA,"2014","Morgan","None/Limited"
"54",2014,"Perry",13.5,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,146,2155,88,780,2155,36.2,51,NA,NA,NA,NA,NA,"2014","Perry","None/Limited"
"55",2014,"Pickens",12.1,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,240,4402,75,1916,4402,43.5,34,NA,NA,NA,NA,NA,"2014","Pickens","None/Limited"
"56",2014,"Pike",9.4,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,326,7320,70,4200,7320,57.4,34,NA,NA,NA,NA,NA,"2014","Pike","None/Limited"
"57",2014,"Randolph",10,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,292,5093,80,2067,5093,40.6,35,NA,NA,NA,NA,NA,"2014","Randolph","None/Limited"
"58",2014,"Russell",10.7,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,844,14288,65,8022,14288,56.1,37,NA,NA,NA,NA,NA,"2014","Russell","None/Limited"
"59",2014,"St. Clair",8.7,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,986,23207,76,11885,23207,51.2,21,NA,NA,NA,NA,NA,"2014","St. Clair","None/Limited"
"60",2014,"Shelby",8.4,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,1894,56929,86,42396,56929,74.5,12,NA,NA,NA,NA,NA,"2014","Shelby","None/Limited"
"61",2014,"Sumter",13.5,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,215,2744,80,1345,2744,49,45,NA,NA,NA,NA,NA,"2014","Sumter","None/Limited"
"62",2014,"Talladega",12.5,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,1072,21163,74,9762,21163,46.1,35,NA,NA,NA,NA,NA,"2014","Talladega","None/Limited"
"63",2014,"Tallapoosa",12.6,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,562,9706,77,4331,9706,44.6,38,NA,NA,NA,NA,NA,"2014","Tallapoosa","None/Limited"
"64",2014,"Tuscaloosa",11.5,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,2347,48877,67,29871,48877,61.1,26,NA,NA,NA,NA,NA,"2014","Tuscaloosa","None/Limited"
"65",2014,"Walker",10.4,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,789,16188,76,8336,16188,51.5,28,NA,NA,NA,NA,NA,"2014","Walker","None/Limited"
"66",2014,"Washington",9.7,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,267,4049,85,1547,4049,38.2,29,NA,NA,NA,NA,NA,"2014","Washington","None/Limited"
"67",2014,"Wilcox",12.6,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,210,2684,72,883,2684,32.9,51,NA,NA,NA,NA,NA,"2014","Wilcox","None/Limited"
"68",2014,"Winston",9.7,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,305,5578,88,2546,5578,45.6,40,NA,NA,NA,NA,NA,"2014","Winston","None/Limited"
"69",2014,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","","None/Limited"
"70",2014,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","","None/Limited"
"71",2015,"State Total",10.3,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,59056,1227971,77,711680,1227971,58,27,NA,NA,NA,NA,NA,"2015","State Total","None/Limited"
"72",2015,"Autauga",9.1,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,768,14535,81,8145,14535,56,20,NA,NA,NA,NA,NA,"2015","Autauga","None/Limited"
"73",2015,"Baldwin",8.7,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,2321,45251,74,28277,45251,62.5,21,NA,NA,NA,NA,NA,"2015","Baldwin","None/Limited"
"74",2015,"Barbour",11.9,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,334,7456,70,3156,7456,42.3,42,NA,NA,NA,NA,NA,"2015","Barbour","None/Limited"
"75",2015,"Bibb",12.8,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,268,6106,80,3053,6106,50,36,NA,NA,NA,NA,NA,"2015","Bibb","None/Limited"
"76",2015,"Blount",7.7,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,738,14459,85,7113,14459,49.2,27,NA,NA,NA,NA,NA,"2015","Blount","None/Limited"
"77",2015,"Bullock",13.6,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,170,3211,73,1147,3211,35.7,44,NA,NA,NA,NA,NA,"2015","Bullock","None/Limited"
"78",2015,"Butler",10.8,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,307,4826,66,2141,4826,44.4,40,NA,NA,NA,NA,NA,"2015","Butler","None/Limited"
"79",2015,"Calhoun",8.7,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,1418,29228,82,14999,29228,51.3,29,NA,NA,NA,NA,NA,"2015","Calhoun","None/Limited"
"80",2015,"Chambers",11.9,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,352,8158,76,3888,8158,47.7,35,NA,NA,NA,NA,NA,"2015","Chambers","None/Limited"
"81",2015,"Cherokee",8.9,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,305,5748,74,3074,5748,53.5,32,NA,NA,NA,NA,NA,"2015","Cherokee","None/Limited"
"82",2015,"Chilton",9.8,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,568,11724,76,4561,11724,38.9,34,NA,NA,NA,NA,NA,"2015","Chilton","None/Limited"
