year,county,pct_lbw,pct_lbw_aian,pct_lbw_asian,pct_lbw_biracial,pct_lbw_black,pct_lbw_hispanic,pct_lbw_nhopi,pct_lbw_white,tbr,tbr_aian,tbr_asian,tbr_biracial,tbr_black,tbr_hispanic,tbr_nhopi,tbr_white,num_hs_complete,pop_25plus,pct_hs_complete,num_some_college,pop_25_44,pct_some_college,pct_child_poverty,pct_child_poverty_aian,pct_child_poverty_asian,pct_child_poverty_black,pct_child_poverty_hispanic,pct_child_poverty_white,year_factor,county_factor,racial_data_available,lbw_pct_change,hs_pct_change,poverty_pct_change,tbr_pct_change
2014,Dallas,0.128,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,620,9891,0.71,4292,9891,0.434,0.6,NA,NA,NA,NA,NA,2014,Dallas,None/Limited,0,0,0,0
2014,DeKalb,0.087,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,845,18363,0.86,7162,18363,0.39,0.3,NA,NA,NA,NA,NA,2014,DeKalb,None/Limited,0,0,0,0
2014,Elmore,0.08800000000000001,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,1124,21975,0.74,12409,21975,0.565,0.21,NA,NA,NA,NA,NA,2014,Elmore,None/Limited,0,0,0,0
2014,Escambia,0.11,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,448,10193,0.77,4668,10193,0.45799999999999996,0.38,NA,NA,NA,NA,NA,2014,Escambia,None/Limited,0,0,0,0
2014,Etowah,0.08900000000000001,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,1381,26079,0.75,14348,26079,0.55,0.31,NA,NA,NA,NA,NA,2014,Etowah,None/Limited,0,0,0,0
2014,Fayette,0.096,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,200,3801,0.83,1478,3801,0.389,0.28,NA,NA,NA,NA,NA,2014,Fayette,None/Limited,0,0,0,0
2014,Franklin,0.085,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,403,8186,0.85,3702,8186,0.452,0.31,NA,NA,NA,NA,NA,2014,Franklin,None/Limited,0,0,0,0
2014,Geneva,0.086,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,312,6348,0.77,3204,6348,0.505,0.36,NA,NA,NA,NA,NA,2014,Geneva,None/Limited,0,0,0,0
2014,Greene,0.16,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,119,1838,0.68,692,1838,0.376,0.48,NA,NA,NA,NA,NA,2014,Greene,None/Limited,0,0,0,0
2014,Hale,0.139,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,248,3527,0.67,1443,3527,0.409,0.39,NA,NA,NA,NA,NA,2014,Hale,None/Limited,0,0,0,0
2014,Henry,0.08900000000000001,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,274,3913,0.72,2208,3913,0.564,0.29,NA,NA,NA,NA,NA,2014,Henry,None/Limited,0,0,0,0
2014,Houston,0.087,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,1271,26246,0.71,14085,26246,0.537,0.29,NA,NA,NA,NA,NA,2014,Houston,None/Limited,0,0,0,0
2014,Jackson,0.087,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,657,12949,0.8,6013,12949,0.46399999999999997,0.25,NA,NA,NA,NA,NA,2014,Jackson,None/Limited,0,0,0,0
2014,Jefferson,0.11599999999999999,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,8915,177321,0.73,116658,177321,0.6579999999999999,0.28,NA,NA,NA,NA,NA,2014,Jefferson,None/Limited,0,0,0,0
2014,Lamar,0.091,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,184,3372,0.73,1553,3372,0.461,0.31,NA,NA,NA,NA,NA,2014,Lamar,None/Limited,0,0,0,0
2014,Lauderdale,0.1,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,1096,21922,0.81,12717,21922,0.58,0.29,NA,NA,NA,NA,NA,2014,Lauderdale,None/Limited,0,0,0,0
2014,Lawrence,0.1,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,455,8514,0.79,4231,8514,0.49700000000000005,0.29,NA,NA,NA,NA,NA,2014,Lawrence,None/Limited,0,0,0,0
2014,Lee,0.08,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,1610,37163,0.87,24321,37163,0.654,0.21,NA,NA,NA,NA,NA,2014,Lee,None/Limited,0,0,0,0
2014,Limestone,0.09300000000000001,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,925,23459,0.82,12959,23459,0.552,0.19,NA,NA,NA,NA,NA,2014,Limestone,None/Limited,0,0,0,0
2014,Lowndes,0.13699999999999998,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,152,2481,0.63,1128,2481,0.455,0.43,NA,NA,NA,NA,NA,2014,Lowndes,None/Limited,0,0,0,0
2014,Macon,0.115,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,244,4281,0.86,2220,4281,0.519,0.49,NA,NA,NA,NA,NA,2014,Macon,None/Limited,0,0,0,0
2014,Madison,0.10400000000000001,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,4635,88504,0.74,62185,88504,0.703,0.17,NA,NA,NA,NA,NA,2014,Madison,None/Limited,0,0,0,0
2014,Marengo,0.122,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,347,4648,0.87,2556,4648,0.55,0.36,NA,NA,NA,NA,NA,2014,Marengo,None/Limited,0,0,0,0
2014,Marion,0.09,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,383,7236,0.73,3427,7236,0.474,0.31,NA,NA,NA,NA,NA,2014,Marion,None/Limited,0,0,0,0
2014,Marshall,0.081,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,1174,23577,0.82,10545,23577,0.447,0.36,NA,NA,NA,NA,NA,2014,Marshall,None/Limited,0,0,0,0
2014,Mobile,0.11900000000000001,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,5631,104874,0.64,59459,104874,0.5670000000000001,0.31,NA,NA,NA,NA,NA,2014,Mobile,None/Limited,0,0,0,0
2014,Monroe,0.14800000000000002,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,340,5246,0.79,2136,5246,0.40700000000000003,0.33,NA,NA,NA,NA,NA,2014,Monroe,None/Limited,0,0,0,0
